module_id,display_name,summary,method_count,form_count,doc_count,source_dir
acoustics,Acoustics,"Analyse tones, tune instruments, estimate sound level, and compare measured tones with target frequencies.",4,1,3,acoustics
adminfingerprint,Local device authentication,,1,1,1,adminfingerprint
apiget,Online API GET,Run declared online API/RSS-style data links with compact returns and audit JSON.,1,0,0,apiget
appinspector,Android app inspector,Inspect public app components and test authorised Android intents.,1,1,1,appinspector
aquaticfield,Aquatic fieldwork,"Offline oceanography and limnology calculations, sampling records, field QC and station workflow.",16,1,3,aquaticfield
arcade,Arcade,Lightweight real-time touch games on a fixed-step local-first runtime.,1,1,2,arcade
astronomy,Astronomy,"Plan, assess and document astronomical observing and imaging without duplicating a planetarium.",12,1,3,astronomy
attestation,Traceable attestation,"Signed, hash-chained field attestations with nightly ODK chain anchoring.",2,6,1,attestation
aviation,Aviation tools,"Pilot-oriented flight deck, emergency phone-reference instruments, airfield/runway context and offline planning calculations with GPS-aware inputs and audit outputs.",6,1,5,aviation
bluetoothinspector,Bluetooth device inspector,Discover nearby Bluetooth devices and inspect authorised BLE endpoints.,1,1,1,bluetoothinspector
bluetoothprinter,Bluetooth printer,"Qutie-family FF00/LuckPrinter BLE thermal printing with text, QR and Code 128 composition.",1,0,6,bluetoothprinter
calibratedscale,Calibrated scale,,1,4,1,calibratedscale
chance,Chance,"Dice, coins, cards, concealed picks, spinners and weighted random choices.",6,6,11,chance
choiceexperiment,Discrete choice experiments,"Interactive discrete-choice, MaxDiff, ranking, points-allocation and conjoint tasks adapted from the XLSForm DCE tooling.",5,5,1,choiceexperiment
clinicalinstruments,Clinical Instruments,Run curated or local versioned clinical checklists and scores entirely offline and return structured observations plus results.,1,1,14,clinicalinstruments
compass,Compass,Live magnetic compass and bearing sight with explicit Commit capture.,1,1,3,compass
conversationtranslate,Conversation translator,Run an operator-controlled bilingual conversation translator and transcript.,1,1,1,conversationtranslate
conversions,Conversions / General Calculator,"Offline units, percentages, ratios, date arithmetic and simple geometry.",1,1,2,conversions
cryptography,Cryptography,"Guided privacy, signing, verification, authenticator and recovery tools with expert details kept out of the normal path.",20,2,9,cryptography
datatools,Data tools,"JSON, Base64, URL, hex, timestamp and CSV/JSON transformations.",1,1,2,datatools
digitalsigning,Digital signing,"Open a PDF, add handwritten ink, commit a new version, and optionally obtain an RFC 3161 trusted timestamp.",1,1,1,digitalsigning
diving,Diving,"Recreational and technical diving physics, gas planning, cylinder/log records, and persistent planning dashboards.",18,1,1,diving
documentscanner,Document scanner,"Scan paper pages, crop/align them, OCR them, and return PDF/text attachments.",1,1,1,documentscanner
earthscience,Earth science utilities,"Field geodesy, GNSS averaging, structural geology, geological time and earth-material classification.",12,1,5,earthscience
electrical,Electrical,"Solve common electrical calculations for field and bench work, with compact copy/share-first results.",1,0,1,electrical
emergency,Emergency,"Offline-first emergency reference, local risk status, emergency location and strategic exit planning.",5,1,3,emergency
expenses,Expenses,"Manage persistent trip and business expense ledgers with receipt evidence, transparent FX conversion, and export/share, editable ledger settings, and document scanning.",1,1,1,expenses
fieldstats,Field Statistics,"Pocket statistical calculators for field epidemiology, diagnostics, surveys and quick quantitative checks.",10,10,5,fieldstats
gamedeck,GameDeck,A lightweight game shelf with shared MethodMesh randomness and reproducible GameLab scenarios.,1,1,2,gamedeck
gpstargetnavigator,GPS target navigator,"Target-first GPS navigation with live compass, distance and coordinate/Plus Code setup.",1,1,4,gpstargetnavigator
hamradio,Amateur radio,"A live operating dashboard plus space weather, PSK activity, HF band guidance, Maidenhead/path and practical RF calculators.",9,1,5,hamradio
