method_id,module_id,module,label,description,master_book_polished_production
acoustic.analyse,acoustics,Acoustics,analyse acoustic signal,"Measure pitch, waveform, spectrum and amplitude",False
acoustic.compare,acoustics,Acoustics,compare tone,Compare a measured tone with a target frequency and tolerance,False
acoustic.level,acoustics,Acoustics,measure sound level,Measure relative or calibrated acoustic level,False
acoustic.tune,acoustics,Acoustics,tune instrument,Tune a chromatic or preset string instrument,False
ham.activity.pskreporter,hamradio,Amateur radio,read psk reporter,Read recent observed PSK Reporter reception activity,False
ham.antenna.calculate,hamradio,Amateur radio,calculate antenna length,Calculate wavelength-derived antenna starting dimensions,False
ham.band.recommend,hamradio,Amateur radio,recommend ham band,Rank HF amateur bands for current conditions,False
ham.dashboard,hamradio,Amateur radio,show ham radio dashboard,"Refresh QTH, current HF band guidance, space weather and optional PSK activity",False
ham.link.calculate,hamradio,Amateur radio,calculate radio link,"Calculate FSPL, horizon and Fresnel-zone values",False
ham.maidenhead.convert,hamradio,Amateur radio,convert maidenhead,Encode or decode a Maidenhead locator,False
ham.path.calculate,hamradio,Amateur radio,calculate radio path,Calculate distance and bearings between two Maidenhead locators,False
ham.spaceweather.snapshot,hamradio,Amateur radio,read space weather,Read current radio-relevant NOAA space weather,False
ham.swr.calculate,hamradio,Amateur radio,calculate swr,Calculate SWR from forward and reflected power,False
android_app_inspector,appinspector,Android app inspector,inspect android app,Inspect public Android app interfaces,False
aquatic.ctd.cast,aquaticfield,Aquatic fieldwork,record ctd cast,Record a CTD or sonde cast,False
aquatic.depth_plan.generate,aquaticfield,Aquatic fieldwork,generate aquatic depth plan,Generate planned sampling depths,False
aquatic.field_qc.run,aquaticfield,Aquatic fieldwork,run aquatic field qc,Run field completeness and plausibility checks,False
aquatic.instrument.check,aquaticfield,Aquatic fieldwork,record aquatic instrument check,Record calibration or field verification,False
aquatic.mooring.record,aquaticfield,Aquatic fieldwork,record aquatic mooring,Record a mooring event,False
aquatic.pressure_depth.convert,aquaticfield,Aquatic fieldwork,convert pressure depth,Convert aquatic pressure and depth,False
aquatic.profile.summarise,aquaticfield,Aquatic fieldwork,summarise aquatic profile,Summarise a processed vertical profile,False
aquatic.rosette.fire,aquaticfield,Aquatic fieldwork,record rosette fire,Record a water-sampler bottle firing,False
aquatic.salinity.convert,aquaticfield,Aquatic fieldwork,convert salinity,Convert conductivity or calculate Practical Salinity,False
aquatic.sample.record,aquaticfield,Aquatic fieldwork,record water sample,Record a discrete water sample,False
aquatic.sample_id.generate,aquaticfield,Aquatic fieldwork,generate sample id,Generate an aquatic sample identifier,False
aquatic.secchi.measure,aquaticfield,Aquatic fieldwork,measure secchi depth,Record a Secchi observation,False
aquatic.sediment.record,aquaticfield,Aquatic fieldwork,record sediment sample,Record a sediment core or grab,False
aquatic.station.dashboard,aquaticfield,Aquatic fieldwork,aquatic station dashboard,Open or return the current station snapshot,False
aquatic.station.visit,aquaticfield,Aquatic fieldwork,record aquatic station,Record a station visit,False
aquatic.transect.record,aquaticfield,Aquatic fieldwork,record aquatic transect,Record a transect,False
arcade.snapshot,arcade,Arcade,open arcade,Open the Arcade game shelf,False
astronomy.conditions,astronomy,Astronomy,assess astronomy conditions,Score imaging conditions,False
astronomy.dashboard,astronomy,Astronomy,show astronomy dashboard,"Refresh current observing, dew, upper-atmosphere and tonight conditions",False
astronomy.dew_risk,astronomy,Astronomy,check dew risk,Calculate condensation risk,False
astronomy.exposure_limit,astronomy,Astronomy,calculate exposure limit,Estimate untracked exposure limit,False
astronomy.focus,astronomy,Astronomy,assist focus,Minimise point-source FWHM,False
astronomy.image_scale,astronomy,Astronomy,calculate image scale,Calculate field of view and sampling,False
astronomy.imaging_window,astronomy,Astronomy,plan imaging window,Find the best imaging period tonight,False
astronomy.light_pollution,astronomy,Astronomy,check light pollution,"Download, map and sample NASA VIIRS nighttime radiance around a location",False
astronomy.mount_stability,astronomy,Astronomy,test mount stability,Measure telescope or tripod vibration,False
astronomy.polar_align,astronomy,Astronomy,polar align,Find true/celestial north or south and Polaris clock position,False
astronomy.session,astronomy,Astronomy,record astronomy session,Run a resumable observing session and create a shareable record,False
astronomy.sky_test,astronomy,Astronomy,test sky quality,Measure the sky against a good-night calibration,False
barcode.scan,barcode,Automatic code scanner,scan qr,Capture a QR token as verifiable workflow evidence,True
aviation.airfield.nearby,aviation,Aviation tools,find nearby airfields,Find aerodromes around current or supplied coordinates,False
aviation.altitude.calculate,aviation,Aviation tools,calculate density altitude,Calculate pressure and density altitude,False
aviation.dashboard,aviation,Aviation tools,open aviation dashboard,Open a persistent GPS-aware aviation dashboard,False
aviation.e6b.calculate,aviation,Aviation tools,calculate e6b,Run common electronic flight-computer calculations,False
aviation.emergency.instruments,aviation,Aviation tools,open emergency instrument panel,Open a persistent supplementary phone-sensor emergency reference panel,False
aviation.runway.wind,aviation,Aviation tools,calculate runway wind,"Calculate runway headwind, tailwind and crosswind components",False
bluetooth_device_inspector,bluetoothinspector,Bluetooth device inspector,inspect bluetooth devices,Discover and assay Bluetooth devices,False
bluetooth_print,bluetoothprinter,Bluetooth printer,print with Qutie-family Bluetooth printer,Print to a Qutie or compatible FF00/LuckPrinter-family BLE thermal printer,False
calibrated_scale,calibratedscale,Calibrated scale,,,True
chance.cards.draw,chance,Chance,draw card,Draw a card from a standard deck,False
chance.pick.one,chance,Chance,pick one,Lay out concealed choices and let the user pick one,False
chance.spinner.spin,chance,Chance,spin wheel,Spin an equal-segment choice wheel,False
chance.weighted.choose,chance,Chance,weighted choice,Choose from labelled options using numeric weights,False
coin.toss,chance,Chance,toss coin,Toss a fair coin one or more times,False
dice.simulate,chance,Chance,roll dice,Roll one or more dice,False
clinical.instrument.run,clinicalinstruments,Clinical Instruments,run clinical instrument,Run a versioned clinical instrument,False
compass.read,compass,Compass,read compass,Read and capture a compass bearing,False
